1:  5.2705697+e01 
2:  4.2295614+e01 
3:  4.8984286+e01 
4:  4.7500174+e01 
5:  5.191512+e01 
6:  5.2060177+e01 
7:  5.2027463+e01 
8:  4.8181096+e01 
9:  4.700364+e01 
10:  4.7052055+e01 
11:  5.4267704+e01 
12:  4.073496+e01 
13:  4.8963484+e01 
14:  5.135189+e01 
15:  4.6736145+e01 
16:  5.2386136+e01 
17:  4.9643402+e01 
18:  4.5308494+e01 
19:  5.0806818+e01 
20:  4.8659086+e01 
21:  4.7950637+e01 
22:  4.6443386+e01 
23:  5.0307227+e01 
24:  4.0769354+e01 
25:  4.8008334+e01 
26:  4.7282259+e01 
27:  4.5440507+e01 
28:  5.3263493+e01 
29:  4.6328644+e01 
30:  5.2703165+e01 
31:  5.4879204+e01 
32:  4.9215648+e01 
33:  5.1388997+e01 
34:  5.3197587+e01 
35:  4.9595+e01 
36:  5.270435+e01 
37:  4.3687176+e01 
38:  5.5552119+e01 
39:  4.5052187+e01 
40:  4.085582+e01 
41:  5.6922493+e01 
42:  4.9686366+e01 
43:  5.2244606+e01 
44:  4.8183708+e01 
45:  4.4897083+e01 
47:  5.3131395+e01 
48:  4.8566577+e01 
49:  4.9013285+e01 
50:  5.2028027+e01 
51:  4.2903258+e01 
52:  4.6352774+e01 
53:  5.5736639+e01 
54:  5.2989323+e01 
55:  4.3593594+e01 
56:  3.8983679+e01 
57:  4.7143768+e01 
58:  5.1069982+e01 
59:  5.4711885+e01 
60:  5.0468627+e01 
61:  4.438844+e01 
62:  5.1530789+e01 
63:  4.4138326+e01 
64:  4.5195167+e01 
65:  4.6731325+e01 
66:  4.3853032+e01 
67:  4.8645174+e01 
68:  4.550025+e01 
69:  4.8571569+e01 
70:  4.7687892+e01 
71:  4.7951074+e01 
72:  4.7482305+e01 
73:  5.6166486+e01 
74:  5.3051526+e01 
75:  5.029536+e01 
76:  4.2665266+e01 
77:  4.1870984+e01 
78:  4.0176238+e01 
80:  5.4861874+e01 
81:  5.1284905+e01 
82:  4.5128798+e01 
83:  4.4268178+e01 
84:  5.2738198+e01 
85:  5.782542+e01 
86:  4.1533282+e01 
87:  4.7753013+e01 
88:  4.957854+e01 
89:  4.0040014+e01 
90:  5.4206228+e01 
91:  4.7926705+e01 
92:  5.9560904+e01 
93:  4.8045506+e01 
94:  5.20459+e01 
95:  4.4287859+e01 
96:  4.687568+e01 
97:  4.4156386+e01 
98:  5.1962876+e01 
99:  5.6509198+e01 
100:  4.703179+e01 
101:  5.2181877+e01 
102:  4.7478188+e01 
103:  5.0510539+e01 
104:  5.5981253+e01 
105:  5.0601414+e01 
106:  4.4815783+e01 
107:  4.5714484+e01 
108:  4.9150628+e01 
109:  4.9041659+e01 
110:  4.5670924+e01 
111:  5.090332+e01 
112:  5.6332642+e01 
113:  4.8744154+e01 
114:  4.897715+e01 
115:  3.899239+e01 
116:  4.6127434+e01 
117:  4.3033637+e01 
118:  4.8068827+e01 
119:  5.2627932+e01 
120:  5.7616346+e01 
121:  5.8992472+e01 
122:  4.9415579+e01 
123:  4.8399019+e01 
124:  5.408758+e01 
125:  5.2450796+e01 
126:  5.3826256+e01 
127:  5.3891395+e01 
128:  4.2598474+e01 
129:  5.270182+e01 
130:  4.9542305+e01 
131:  4.6198738+e01 
132:  4.6532023+e01 
133:  5.6407289+e01 
134:  4.5951312+e01 
135:  4.3815908+e01 
136:  5.1073432+e01 
137:  6.0053859+e01 
138:  5.0127772+e01 
139:  5.1541497+e01 
140:  4.5308764+e01 
141:  5.837108+e01 
142:  5.062494+e01 
143:  5.2650506+e01 
144:  4.5239659+e01 
145:  5.4270214+e01 
146:  5.1945729+e01 
147:  4.4219995+e01 
148:  5.01987+e01 
149:  4.7747007+e01 
150:  5.054624+e01 
151:  4.8747236+e01 
152:  4.9050492+e01 
153:  4.4835432+e01 
154:  4.838354+e01 
155:  5.3832634+e01 
156:  5.8723366+e01 
157:  4.41974+e01 
158:  6.1887059+e01 
159:  5.763039+e01 
160:  5.0842538+e01 
161:  4.8493967+e01 
162:  4.6506729+e01 
163:  5.4163853+e01 
164:  4.6526974+e01 
165:  4.7690585+e01 
166:  5.4418086+e01 
167:  5.217972+e01 
168:  5.4483737+e01 
169:  5.252366+e01 
170:  4.7995514+e01 
171:  4.743076+e01 
172:  5.3981838+e01 
173:  4.6644049+e01 
174:  5.5933295+e01 
175:  5.39535+e01 
176:  5.1438607+e01 
177:  5.001613+e01 
178:  5.1828086+e01 
180:  4.9437817+e01 
181:  4.221703+e01 
182:  5.95755+e01 
183:  5.304923+e01 
184:  4.6760442+e01 
186:  5.2754752+e01 
187:  5.1471018+e01 
188:  4.611078+e01 
189:  4.467535+e01 
190:  4.115793+e01 
191:  4.7885402+e01 
192:  4.4734488+e01 
193:  5.3238776+e01 
194:  4.8411859+e01 
195:  5.8844958+e01 
196:  5.7552912+e01 
197:  5.0820052+e01 
198:  4.858618+e01 
199:  5.5760829+e01 
200:  4.4267462+e01 
